timestamp,symbol,exchange,open,high,low,close,volume
2026-01-02,AAPL,NASDAQ,180.0,187.0,179.0,186.5,5200
2026-01-02,MSFT,NASDAQ,410.0,421.0,408.0,420.0,4800
2026-01-02,GLD,ARCA,213.0,214.0,212.0,213.8,4100
2026-01-03,AAPL,NASDAQ,186.5,190.0,185.0,189.0,5100
2026-01-03,MSFT,NASDAQ,420.0,426.0,417.0,424.5,4700
2026-01-03,GLD,ARCA,213.8,215.5,213.0,214.7,3900
2026-01-04,AAPL,NASDAQ,189.0,190.5,183.0,184.2,5300
2026-01-04,MSFT,NASDAQ,424.5,426.0,416.0,417.8,5000
2026-01-04,GLD,ARCA,214.7,217.0,214.5,216.3,4200
2026-01-05,AAPL,NASDAQ,184.2,185.0,177.0,178.5,6100
2026-01-05,MSFT,NASDAQ,417.8,419.0,401.0,404.8,5600
2026-01-05,GLD,ARCA,216.3,218.0,215.8,217.6,4300
2026-01-06,AAPL,NASDAQ,178.5,179.2,169.0,171.0,8300
2026-01-06,MSFT,NASDAQ,404.8,406.0,388.0,392.0,7600
2026-01-06,GLD,ARCA,217.6,220.0,216.8,219.2,4600
2026-01-07,AAPL,NASDAQ,171.0,174.0,168.0,172.8,7200
2026-01-07,MSFT,NASDAQ,392.0,396.0,386.0,389.5,7000
2026-01-07,GLD,ARCA,219.2,221.8,218.5,221.1,4700
2026-01-08,AAPL,NASDAQ,172.8,178.0,171.5,177.2,6800
2026-01-08,MSFT,NASDAQ,389.5,398.0,388.0,396.5,6500
2026-01-08,GLD,ARCA,221.1,222.5,219.8,220.0,4500
